"","Survey","SeaState","SightingTime","coords.x1","coords.x2","distance","object","Sample.Label","size"
"1","en04395",3,"2004/06/28 10:22:21",-65.636,39.5760000000001,246.017321,1,48,2
"2","en04395",2.5,"2004/06/28 13:18:14",-65.648,39.746,1632.39336,2,50,2
"3","en04395",3,"2004/06/28 14:13:34",-65.692,39.8430000000001,2368.994088,3,51,1
"4","en04395",3.5,"2004/06/28 15:06:01",-65.717,39.967,244.697667,4,52,1
"5","en04395",4,"2004/06/29 10:48:31",-65.8199999999999,40.2790000000001,2081.346849,5,56,1
"6","en04395",2.4,"2004/06/29 14:35:34",-65.938,40.6120000000001,1149.263222,6,59,1
"7","en04395",2.4,"2004/06/29 14:39:18",-65.9469999999999,40.6170000000001,1533.383222,7,59,1
"8","en04395",2.4,"2004/06/29 14:56:28",-65.992,40.645,2959.174148,8,60,1
"9","en04395",2,"2004/06/29 15:03:02",-66.009,40.6560000000001,1475.212643,9,60,1
"10","en04395",2,"2004/06/29 15:38:17",-66.097,40.7250000000001,5088.76259,10,61,1
"11","en04395",2.5,"2004/06/30 15:36:03",-66.915,40.6630000000001,2367.78617,11,72,1
"12","en04395",3,"2004/07/02 11:08:08",-67.477,39.2350000000001,8044.475248,12,97,4
"13","en04395",2.5,"2004/07/03 06:45:20",-67.603,38.183,5346.350186,13,109,1
"14","en04395",2,"2004/07/21 09:47:20",-68.514,38.7540000000001,1046.839674,14,238,1
"15","en04395",2,"2004/07/21 09:49:35",-68.515,38.748,982.521241,15,238,1
"16","en04395",2,"2004/07/21 10:11:14",-68.5339999999999,38.6900000000001,56.580948,16,239,1
"17","en04395",2.5,"2004/06/25 10:49:06",-68.903,39.8070000000001,135.356618,17,22,1
"18","en04395",2.5,"2004/06/25 10:46:09",-68.905,39.7980000000001,1106.137683,18,22,1
"19","en04395",3,"2004/06/25 10:19:31",-68.931,39.76,3666.026471,19,21,1
"20","en04395",3,"2004/06/25 10:16:31",-68.939,39.765,2339.425671,20,21,1
"21","en04395",3,"2004/06/25 10:13:31",-68.9469999999999,39.7690000000001,4066.60171,21,21,1
"22","en04395",3,"2004/06/25 10:12:07",-68.951,39.772,2040.535952,22,21,2
"23","en04395",3,"2004/06/25 10:05:30",-68.968,39.782,3036.220498,23,21,2
"24","en04395",3,"2004/06/25 10:05:03",-68.9689999999999,39.7830000000001,4976.214385,24,21,1
"25","en04395",3.7,"2004/07/07 14:48:59",-70.114,37.785,384.868466,25,154,1
"26","en04395",3.7,"2004/07/07 15:01:34",-70.136,37.8120000000001,84.898867,26,154,2
"27","en04395",2.4,"2004/07/11 08:25:09",-70.314,39.2490000000001,4890.28426,27,213,2
"28","en04395",2.4,"2004/07/11 08:26:05",-70.3149999999999,39.251,416.293743,28,213,1
"29","en04395",2.4,"2004/07/11 08:16:31",-70.319,39.2350000000001,2974.491877,29,213,2
"30","en04395",3,"2004/07/11 08:40:11",-70.323,39.2860000000001,5054.431903,30,214,4
"31","en04395",2.4,"2004/07/11 08:10:08",-70.335,39.246,3970.641257,31,213,2
"32","en04395",2.4,"2004/07/11 08:07:05",-70.343,39.251,5716.715197,32,213,1
"33","en04395",3.9,"2004/07/29 14:10:23",-70.359,39.7660000000001,553.672942,33,335,1
"34","en04395",2,"2004/07/11 07:43:06",-70.405,39.289,574.168362,34,212,2
"35","en04395",2,"2004/07/11 07:33:25",-70.429,39.3050000000001,3865.495155,35,212,1
"36","en04395",3.5,"2004/07/29 12:56:23",-70.514,39.6080000000001,256.972398,36,332,1
"37","en04395",3.6,"2004/07/29 10:54:05",-70.667,39.7430000000001,2981.139172,37,331,1
"38","en04395",3.9,"2004/07/10 17:06:05",-70.7839999999999,39.5650000000001,1280.731075,38,208,2
"39","en04395",2,"2004/07/22 09:03:08",-71.196,38.085,2977.171405,39,253,3
"40","en04395",2,"2004/07/22 09:25:09",-71.235,38.0290000000001,524.465044,40,254,1
"41","en04395",2,"2004/07/22 09:43:05",-71.2669999999999,37.984,661.067585,41,254,1
"42","en04395",2,"2004/07/22 09:49:07",-71.278,37.9690000000001,974.442229,42,254,1
"43","en04395",2,"2004/07/22 09:49:23",-71.2789999999999,37.9680000000001,1074.227844,43,254,2
"44","en04395",3,"2004/07/10 06:11:32",-71.282,39.2620000000001,160.355743,44,191,4
"45","en04395",3,"2004/07/10 06:14:00",-71.283,39.268,3358.609898,45,191,1
"46","en04395",3,"2004/07/10 06:14:10",-71.2839999999999,39.2690000000001,1285.633176,46,191,1
"47","en04395",3,"2004/07/10 06:16:08",-71.285,39.2740000000001,497.230737,47,191,2
"48","en04395",3.5,"2004/07/10 08:15:33",-71.354,39.5690000000001,1045.303073,48,194,1
"49","en04395",3.5,"2004/07/10 08:45:16",-71.374,39.65,2486.397335,49,195,2
"50","en04395",2.9,"2004/08/02 07:00:11",-71.41,39.6170000000001,2744.80941,50,381,2
"51","en04395",3.1,"2004/08/02 07:13:23",-71.431,39.583,635.570297,51,381,2
"52","en04395",3.1,"2004/08/02 07:18:10",-71.439,39.5700000000001,397.390537,52,381,2
"53","en04395",2.9,"2004/08/02 07:40:08",-71.475,39.513,227.952364,53,382,1
"54","en04395",2.9,"2004/08/02 07:46:20",-71.485,39.4970000000001,3447.277253,54,382,1
"55","en04395",2.9,"2004/08/02 07:47:24",-71.487,39.494,1599.924242,55,382,1
"56","en04395",2.7,"2004/08/02 08:07:12",-71.5189999999999,39.4440000000001,1555.697246,56,383,1
"57","en04395",2,"2004/08/02 10:07:23",-71.6709999999999,39.513,4451.573445,57,385,1
"58","en04395",3.5,"2004/07/08 17:11:35",-71.842,39.2500000000001,1114.528577,58,176,1
"59","en04395",1,"2004/07/22 16:09:24",-71.8609999999999,37.308,3430.62858,59,264,3
"60","en04395",1,"2004/07/22 16:17:33",-71.8799999999999,37.3260000000001,21.388373,60,264,1
"61","en04395",4.5,"2004/07/27 11:06:03",-72.0099999999999,38.5570000000001,69.521787,61,312,1
"62","en04395",3.5,"2004/07/27 10:23:17",-72.03,38.6730000000001,3323.24873,62,311,2
"63","en04395",2.5,"2004/07/27 09:00:22",-72.032,38.8600000000001,2908.96835,63,308,1
"64","en04395",2,"2004/07/27 16:19:28",-72.049,39.4180000000001,3130.525143,64,315,1
"65","en04395",2,"2004/07/27 16:04:17",-72.054,39.3720000000001,1526.703163,65,315,1
"66","en04395",2.8,"2004/07/27 06:45:00",-72.08,39.0410000000001,981.363048,66,306,2
"67","en04395",1.8,"2004/08/03 08:50:15",-72.446,38.8530000000001,3792.903857,67,396,3
"68","en04395",1.8,"2004/08/03 07:45:11",-72.528,38.8440000000001,1623.890329,68,394,1
"69","en04395",2,"2004/08/03 09:34:14",-72.535,38.962,874.535298,69,397,1
"70","en04395",2,"2004/08/03 09:36:08",-72.538,38.9660000000001,1216.193181,70,397,5
"71","en04395",1.8,"2004/08/03 07:40:22",-72.544,38.8500000000001,3788.280922,71,394,4
"72","en04395",1.8,"2004/08/03 07:39:08",-72.5479999999999,38.852,3602.79816,72,393,1
"73","en04395",1.8,"2004/08/03 07:38:21",-72.55,38.8530000000001,407.882109,73,393,1
"74","en04395",1.8,"2004/08/03 07:38:08",-72.551,38.854,531.171735,74,393,1
"75","en04395",2.5,"2004/08/03 07:28:31",-72.583,38.8670000000001,42.58191,75,393,1
"76","en04395",2.5,"2004/08/03 07:27:14",-72.587,38.869,323.180142,76,393,1
"77","en04395",2.5,"2004/08/03 07:23:11",-72.6009999999999,38.8750000000001,5231.174293,77,393,1
"78","en04395",2.5,"2004/08/03 07:18:59",-72.614,38.881,3710.903185,78,393,3
"79","en04395",3,"2004/07/24 15:17:59",-72.941,38.7260000000001,3424.93419,79,301,1
"80","en04395",1.8,"2004/07/24 07:28:31",-73.3439999999999,38.313,4936.626895,80,289,1
"81","en04395",4,"2004/07/23 15:10:19",-73.499,38.148,1646.564943,81,281,1
"82","GU0403",4,"2004/06/28 11:11:11",-78.5902347699999,29.8011168300001,588.4028371,82,438,1
"83","GU0403",3,"2004/07/02 08:04:26",-76.0520750599999,31.6110440200001,1585.717584,83,503,2.2
"84","GU0403",3,"2004/07/02 08:09:45",-76.02420734,31.61148695,2641.243462,84,503,2
"85","GU0403",2,"2004/07/02 15:53:47",-75.5231598999999,31.93831204,2088.335633,85,514,1
"86","GU0403",2,"2004/07/02 17:09:21",-75.5087893099999,32.0167116100001,656.5268989,86,515,2.25
"87","GU0403",3,"2004/07/05 08:03:45",-74.2719441,34.2939597600001,3123.546559,87,562,3
"88","GU0403",5,"2004/07/05 11:27:33",-74.54900013,34.8050485000001,718.3255981,88,568,1
"89","GU0403",2,"2004/07/07 06:08:07",-72.2278907,34.92423674,329.5252407,89,605,1
"90","GU0403",4,"2004/07/08 08:22:48",-74.10554677,35.6858429700001,1151.412956,90,619,1
"91","GU0403",2,"2004/07/08 18:11:45",-74.2859029799999,35.8113681200001,2209.027657,91,621,1
"92","GU0403",2,"2004/07/08 18:24:53",-74.31957708,35.82268393,286.6639081,92,621,2
"93","GU0403",2,"2004/07/08 18:38:28",-74.34420722,35.83583071,1958.403533,93,621,1.5
"94","GU0403",3,"2004/07/09 06:14:37",-74.62383841,35.8466724900001,3419.639735,94,623,1.333333333
"95","GU0403",3,"2004/07/20 19:23:41",-75.25644468,34.86021242,8230.566536,95,741,1
"96","GU0403",2,"2004/07/21 19:11:35",-73.9971968999999,36.16160739,1705.118912,96,759,4.5
"97","GU0403",1,"2004/07/22 08:25:09",-74.25611523,36.6861014900001,3152.492837,97,761,3.5
"98","GU0403",1,"2004/07/22 13:20:38",-74.3011104399999,36.4570463900001,3152.492837,98,761,2.666666667
"99","GU0403",0,"2004/07/22 14:37:56",-74.37934511,36.6272425700001,2257.196359,99,762,5
"100","GU0403",0,"2004/07/22 15:18:29",-74.39987518,36.66888671,3135.223164,100,762,2
"101","GU0403",0,"2004/07/22 15:26:48",-74.47224928,36.7001814700001,323.4138961,101,762,4.5
"102","GU0403",0,"2004/07/22 15:45:13",-74.43730399,36.7282348200001,4636.327926,102,763,2.5
"103","GU0403",0,"2004/07/22 15:52:11",-74.51550889,36.7458044900001,815.9252076,103,763,3
"104","GU0403",4,"2004/07/23 14:38:35",-73.96158258,37.4485697000001,2374.767637,104,774,2.2
"105","GU0403",4,"2004/07/23 16:29:39",-73.6173291699999,37.53890153,945.7620013,105,777,2
"106","GU0403",3,"2004/07/23 17:13:00",-73.4625126,37.61141257,3704.986458,106,778,1
"107","GU0403",3,"2004/07/23 17:45:07",-73.36759863,37.58204527,3736.270013,107,779,2
"108","GU0403",2,"2004/07/24 06:43:21",-72.99466919,37.7071032800001,583.9369251,108,782,4.6
"109","GU0403",2,"2004/07/24 06:44:33",-73.0126634599999,37.7059423200001,286.6639081,109,782,1.8
"110","GU0403",2,"2004/07/24 06:59:39",-72.88678793,37.7161888100001,2133.150833,110,782,1
"111","GU0403",2,"2004/07/24 07:01:44",-72.88189912,37.73114954,718.3255981,111,782,1.6
"112","GU0403",3,"2004/07/24 12:24:37",-72.16012383,37.86729351,5817.838471,112,787,2
"113","GU0403",2,"2004/07/25 06:30:56",-71.13988798,37.89174095,373.6810209,113,796,2
"114","GU0403",2,"2004/07/26 16:13:23",-73.01843917,37.13338487,113.0881866,114,813,1
"115","GU0403",2,"2004/07/26 16:49:56",-72.97463901,37.0205551500001,1509.440766,115,814,5
"116","GU0403",3,"2004/07/27 08:58:16",-73.5511965599999,36.5560068200001,3515.763628,116,816,2
"117","GU0403",5,"2004/07/27 14:02:06",-74.3918146,36.28701096,547.4246511,117,824,1
"118","GU0403",4,"2004/08/01 11:22:54",-74.04429798,37.3812458100001,470.9374938,118,835,4
"119","GU0403",4,"2004/08/01 11:30:47",-74.0303907699999,37.39385444,2854.408558,119,835,3
"120","GU0403",3,"2004/08/01 12:19:56",-73.9393940699999,37.2412604900001,772.5636867,120,836,3.666666667
"121","GU0403",3,"2004/08/01 12:40:35",-73.9358463299999,37.23015566,449.258173,121,836,7.8
"122","GU0403",3,"2004/08/01 13:22:10",-73.87216818,37.19612547,492.4038798,122,836,1.25
"123","GU0403",3,"2004/08/01 13:32:56",-73.8335709799999,37.1436374900001,326.0842835,123,837,2
"124","GU0403",3,"2004/08/01 13:41:41",-73.82029104,37.15901266,1650.831608,124,837,1
"125","GU0403",3,"2004/08/01 14:17:50",-73.73731875,37.0024331000001,143.8403242,125,838,1
"126","GU0403",3,"2004/08/01 14:23:12",-73.7210383,37.0092757200001,1172.327573,126,838,4
"127","GU0403",3,"2004/08/01 15:11:04",-73.60504063,36.9594201,8116.649359,127,839,3
"128","GU0403",3,"2004/08/01 15:16:36",-73.74144251,36.88195001,7139.100498,128,839,1
"129","GU0403",3,"2004/08/01 15:59:31",-73.5357770699999,36.8137162100001,5246.640906,129,840,1
"130","GU0403",3,"2004/08/01 16:45:15",-73.51026646,36.7063209500001,1205.713637,130,841,2.5
"131","GU0403",3,"2004/08/01 16:53:24",-73.51385973,36.6928706,141.4213593,131,841,1
"132","GU0403",3,"2004/08/02 06:13:24",-74.3270383999999,36.49042368,438.7422158,132,844,2.333333333
"133","GU0403",3,"2004/08/02 06:22:52",-74.3458925899999,36.4744353900001,2185.472659,133,844,2.5
"134","GU0403",3,"2004/08/02 06:27:42",-74.35517578,36.51063929,1348.439052,134,844,1.5
"135","GU0403",3,"2004/08/02 06:35:47",-74.3642379199999,36.56050171,6344.020236,135,844,1.333333333
"136","GU0403",3,"2004/08/02 06:53:21",-74.42992494,36.47991697,4636.327926,136,844,3
"137","GU0403",5,"2004/08/05 18:32:06",-73.4859077999999,36.56985596,70.71067965,137,859,1
